SYMBOL	distanceToTSS	annotation	seqnames	start	end
Snapc1	7145	Intron (ENSMUST00000021532.5/75627, intron 8 of 9)	chr12	73979041	73979540
Hivep3	7262	Intron (ENSMUST00000106307.8/16656, intron 4 of 8)	chr4	120101751	120102250
Emilin2	-7534	Intron (ENSMUST00000233188.1/ENSMUST00000233188.1, intron 1 of 2)	chr17	71319090	71319589
Smap2	7589	Intron (ENSMUST00000043200.7/69780, intron 1 of 9)	chr4	121009159	121009658
Prdm2	-7779	Distal Intergenic	chr4	143220774	143221273
Sh2d4a	-7986	Distal Intergenic	chr8	68268082	68268581
Fmn1	8410	Intron (ENSMUST00000099576.8/14260, intron 4 of 18)	chr2	113449474	113449973
Palld	-8433	Intron (ENSMUST00000133752.1/ENSMUST00000133752.1, intron 2 of 2)	chr8	61911123	61911622
Cntln	8473	Intron (ENSMUST00000047023.12/338349, intron 2 of 25)	chr4	84892938	84893437
Exoc1l	8564	Intron (ENSMUST00000191515.7/639545, intron 2 of 3)	chr5	76492895	76493394
Adgra2	-8571	Intron (ENSMUST00000178514.7/78560, intron 2 of 15)	chr8	27105063	27105562
Grid1	-8742	Intron (ENSMUST00000043349.6/14803, intron 13 of 15)	chr14	35560753	35561252
Myo18a	8819	5' UTR	chr11	77786135	77786634
Gng4	-8825	Intron (ENSMUST00000110559.2/17101, intron 50 of 52)	chr13	13774735	13775234
Serpinb2	-8898	Distal Intergenic	chr1	107502026	107502525
Hdac9	-8939	Distal Intergenic	chr12	34926034	34926533
Ppp1r1c	-9297	Distal Intergenic	chr2	79697984	79698483
Nucb2	-9463	Distal Intergenic	chr7	116494407	116494906
Kcnv2	-9490	Distal Intergenic	chr19	27312599	27313098
Tns3	-9670	Distal Intergenic	chr11	8674351	8674850
Nmu	-9693	Distal Intergenic	chr5	76373481	76373980
Stox2	-9761	Intron (ENSMUST00000079195.5/71069, intron 1 of 3)	chr8	47229996	47230495
Lrrc1	-9798	Exon (ENSMUST00000183873.7/214345, exon 9 of 14)	chr9	77452289	77452788
Acta2	9811	Intron (ENSMUST00000039631.9/11475, intron 7 of 8)	chr19	34243920	34244419
4930519L02Rik	9943	Exon (ENSMUST00000200254.1/102636203, exon 5 of 5)	chr3	143040557	143041056
Pcca	-10036	Intron (ENSMUST00000148172.1/110821, intron 4 of 4)	chr14	122572149	122572648
Gatm	10159	Distal Intergenic	chr2	122587876	122588375
Cerk	-10294	Intron (ENSMUST00000044332.15/223753, intron 1 of 12)	chr15	86169762	86170261
Mir1983	-10405	Distal Intergenic	chr13	21907454	21907953
Sec24d	-10618	Distal Intergenic	chr3	123256338	123256837
Il20rb	10666	Intron (ENSMUST00000187637.1/ENSMUST00000187637.1, intron 1 of 1)	chr9	100450570	100451069
Tram2	-10915	Distal Intergenic	chr1	21090144	21090643
Erich3	10935	Intron (ENSMUST00000098496.8/209601, intron 8 of 13)	chr3	154722800	154723299
Cyp4b1	-11280	Distal Intergenic	chr4	115659003	115659502
Mgmt	-11618	Distal Intergenic	chr7	136882497	136882996
Mak	-11655	Exon (ENSMUST00000225084.1/17152, exon 5 of 14)	chr13	41051426	41051925
Ap4s1	-12014	Intron (ENSMUST00000013130.14/94186, intron 1 of 17)	chr12	51678520	51679019
Catsperb	12844	Exon (ENSMUST00000221965.1/271036, exon 3 of 5)	chr12	101417596	101418095
Parp14	13379	Exon (ENSMUST00000042665.8/547253, exon 6 of 17)	chr16	35857504	35858003
Gm5893	-13654	Distal Intergenic	chr7	24804642	24805141
AU022793	13920	Distal Intergenic	chr15	39976569	39977068
Rab38	13982	Intron (ENSMUST00000107256.3/72433, intron 1 of 2)	chr7	88444376	88444875
Rbm26	14071	Intron (ENSMUST00000163545.7/74213, intron 1 of 21)	chr14	105162290	105162789
Lrp2bp	14142	Intron (ENSMUST00000170416.7/102141, intron 15 of 17)	chr8	46036622	46037121
4930555K19Rik	-14160	Distal Intergenic	chr15	41158828	41159327
Rab1a	-14231	Distal Intergenic	chr11	20186702	20187201
Arhgap15	14611	Intron (ENSMUST00000112824.7/76117, intron 1 of 14)	chr2	43763481	43763980
Gm10421	-14781	Intron (ENSMUST00000190247.6/19276, intron 13 of 22)	chr12	117166050	117166549
Mir100hg	14997	Intron (ENSMUST00000233562.1/73144, intron 6 of 6)	chr9	41490057	41490556
Trim9	15051	Intron (ENSMUST00000110522.9/94090, intron 1 of 13)	chr12	70300705	70301204
Eapp	15464	Intron (ENSMUST00000161592.7/66266, intron 4 of 5)	chr12	54679858	54680357
Shroom3	-15547	Intron (ENSMUST00000113055.8/27428, intron 2 of 10)	chr5	92881947	92882446
Fhip1a	-15782	Intron (ENSMUST00000154148.7/99889, intron 1 of 9)	chr3	85833073	85833572
Vav3	-16143	Intron (ENSMUST00000046864.13/57257, intron 2 of 26)	chr3	109478142	109478641
4930528H21Rik	16373	Distal Intergenic	chr6	4030713	4031212
Pam	16510	Intron (ENSMUST00000058762.14/18484, intron 3 of 25)	chr1	97960059	97960558
Bst1	-16562	Intron (ENSMUST00000114047.9/242960, intron 1 of 10)	chr5	43801824	43802323
Nvl	17047	Exon (ENSMUST00000027797.8/67459, exon 10 of 23)	chr1	181126658	181127157
Arhgap18	-17306	Intron (ENSMUST00000176060.7/73910, intron 1 of 4)	chr10	26804797	26805296
Ctsc	-17575	Distal Intergenic	chr7	88260011	88260510
Zbtb14	-17799	Distal Intergenic	chr17	69364752	69365251
2610203C22Rik	-17971	Distal Intergenic	chr1	9649146	9649645
Scel	-18185	Intron (ENSMUST00000227693.1/ENSMUST00000227693.1, intron 1 of 2)	chr14	103494658	103495157
Mir6337	-18185	Distal Intergenic	chr2	65382585	65383084
Hhip	18216	3' UTR	chr8	79971634	79972133
Zfp507	-18219	Intron (ENSMUST00000187873.1/78547, intron 2 of 2)	chr7	35821208	35821707
Paqr9	18519	Distal Intergenic	chr9	95578176	95578675
Ehmt1	18552	Distal Intergenic	chr2	24787304	24787803
Ddx3x	18648	Distal Intergenic	chrX	13306433	13306932
Cnot2	19040	Intron (ENSMUST00000220305.1/ENSMUST00000220305.1, intron 2 of 2)	chr10	116529624	116530123
Sfmbt2	-19189	Intron (ENSMUST00000137351.1/ENSMUST00000137351.1, intron 1 of 3)	chr2	10350822	10351321
Nyap2	19380	Intron (ENSMUST00000137862.7/241134, intron 3 of 6)	chr1	81096963	81097462
Ldlrad4	-19614	Intron (ENSMUST00000063775.4/52662, intron 3 of 5)	chr18	68207954	68208453
Wincr1	19709	Intron (ENSMUST00000146678.1/100040617, intron 2 of 2)	chr4	89078505	89079004
Chst4	20211	Distal Intergenic	chr8	110018644	110019143
Tbc1d23	-20377	Distal Intergenic	chr16	57251881	57252380
Myo9b	-20728	Intron (ENSMUST00000212935.1/17925, intron 2 of 39)	chr8	71312590	71313089
Pisd-ps3	20882	Distal Intergenic	chrUn_JH584304	38286	38785
Gm13043	-21263	Distal Intergenic	chr4	143489581	143490080
Mir101b	21398	Distal Intergenic	chr19	29156677	29157176
Prcp	21584	Intron (ENSMUST00000076052.7/72461, intron 1 of 8)	chr7	92896884	92897383
Ppp1r36dn	22269	Distal Intergenic	chr12	76466829	76467328
4930554I06Rik	22431	Intron (ENSMUST00000237231.1/ENSMUST00000237231.1, intron 2 of 4)	chr19	21127141	21127640
AI115009	-22606	Intron (ENSMUST00000045262.10/229949, intron 5 of 13)	chr3	152643808	152644307
Arfgef1	-22685	Distal Intergenic	chr1	10255355	10255854
Insyn2b	22807	Intron (ENSMUST00000165963.8/574403, intron 1 of 3)	chr11	34337629	34338128
Rapgef4	23056	Intron (ENSMUST00000090826.11/56508, intron 4 of 30)	chr2	72078041	72078540
Niban1	-23282	Intron (ENSMUST00000148810.7/63913, intron 5 of 13)	chr1	151653386	151653885
Wrn	-23828	Intron (ENSMUST00000033991.12/22427, intron 1 of 33)	chr8	33354378	33354877
Tenm3	24246	Intron (ENSMUST00000211812.1/23965, intron 1 of 2)	chr8	48819206	48819705
Ank2	24574	Intron (ENSMUST00000182078.8/109676, intron 3 of 45)	chr3	127099789	127100288
Rybp	-24692	Exon (ENSMUST00000204906.1/ENSMUST00000204906.1, exon 1 of 1)	chr6	100257823	100258322
Tex13b	-24756	Distal Intergenic	chrX	140838189	140838688
Pde1c	25945	Intron (ENSMUST00000044505.13/18575, intron 16 of 18)	chr6	56096564	56097063
Usp13	26601	Intron (ENSMUST00000072312.11/72607, intron 2 of 20)	chr3	32844312	32844811
Pawr	27544	Intron (ENSMUST00000095313.4/114774, intron 2 of 6)	chr10	108360361	108360860
Gpbp1	-27986	Intron (ENSMUST00000231096.1/73274, intron 1 of 7)	chr13	111518097	111518596
Pex5l	-28113	Intron (ENSMUST00000108226.7/58869, intron 1 of 12)	chr3	33111173	33111672
Epb41l4aos	-28234	Distal Intergenic	chr18	33766159	33766658
Gm8013	28606	Distal Intergenic	chr5	96949878	96950377
Cd200	28854	Distal Intergenic	chr16	45370959	45371458
Ctnnd2	-28954	Intron (ENSMUST00000081728.6/18163, intron 19 of 22)	chr15	30975343	30975842
Slc5a7	-30102	Distal Intergenic	chr17	54329136	54329635
Dusp6	-30134	Exon (ENSMUST00000220253.1/ENSMUST00000220253.1, exon 3 of 3)	chr10	99232598	99233097
Zbtb10	-32475	Distal Intergenic	chr3	9217628	9218127
Cdh9	32685	Intron (ENSMUST00000228307.1/12565, intron 2 of 11)	chr15	16810786	16811285
Chl1	33006	Intron (ENSMUST00000203912.2/12661, intron 1 of 26)	chr6	103544336	103544835
Anxa3	-33113	Exon (ENSMUST00000036019.4/231470, exon 63 of 74)	chr5	96759727	96760226
Cdh2	33560	Exon (ENSMUST00000025166.13/12558, exon 2 of 16)	chr18	16774403	16774902
Macroh2a1	33566	Intron (ENSMUST00000237678.1/ENSMUST00000237678.1, intron 5 of 5)	chr13	56050456	56050955
Tasl2	34951	Distal Intergenic	chrX	109231709	109232208
Cd2ap	-35121	Distal Intergenic	chr17	42911786	42912285
H2ap	-36874	Distal Intergenic	chrX	9809555	9810054
Ednra	-38638	Intron (ENSMUST00000153937.1/ENSMUST00000153937.1, intron 7 of 7)	chr8	77763102	77763601
Marchf4	38905	Intron (ENSMUST00000047786.5/381270, intron 1 of 3)	chr1	72497526	72498025
Tjp1	-39442	Intron (ENSMUST00000206228.1/21872, intron 2 of 4)	chr7	65410681	65411180
Gm26579	-40722	Distal Intergenic	chr10	116633370	116633869
Celf4	-41546	Distal Intergenic	chr18	25795703	25796202
Ptprj	-42911	Intron (ENSMUST00000168621.2/19271, intron 1 of 23)	chr2	90522081	90522580
Marchf1	-43100	Intron (ENSMUST00000152320.7/72925, intron 5 of 8)	chr8	66342695	66343194
Slc25a26	-43776	Distal Intergenic	chr6	94456056	94456555
Abhd2	44664	Intron (ENSMUST00000037315.12/54608, intron 3 of 10)	chr7	79317918	79318417
Resf1	-48009	Distal Intergenic	chr6	149260906	149261405
Itga4	-48927	Distal Intergenic	chr2	79206000	79206499
Etaa1os	49012	Distal Intergenic	chr11	18003016	18003515
Pde7b	50561	Intron (ENSMUST00000020165.13/29863, intron 1 of 12)	chr10	20673636	20674135
Pir	50654	Intron (ENSMUST00000145412.7/69656, intron 5 of 8)	chrX	164320227	164320726
Serpinb8	51830	Distal Intergenic	chr1	107657710	107658209
Ube2e3	51859	Distal Intergenic	chr2	78970252	78970751
Limch1	52528	Intron (ENSMUST00000201852.3/77569, intron 1 of 7)	chr5	66798417	66798916
4930448C13Rik	52888	Intron (ENSMUST00000221439.1/73972, intron 3 of 3)	chr12	14997002	14997501
Arid5b	-53894	Intron (ENSMUST00000219238.1/71371, intron 3 of 9)	chr10	68190520	68191019
Mir28b	-56861	Intron (ENSMUST00000004497.10/16795, intron 6 of 14)	chr8	72959152	72959651
9430014N10Rik	-58307	Distal Intergenic	chr15	93985418	93985917
Lsm14a	-59365	Intron (ENSMUST00000140298.1/ENSMUST00000140298.1, intron 1 of 2)	chr7	34452680	34453179
Aff2	-60258	Intron (ENSMUST00000033532.6/14266, intron 8 of 19)	chrX	69795938	69796437
Arl14ep	60448	Distal Intergenic	chr2	106908330	106908829
Dera	60660	Distal Intergenic	chr6	137897512	137898011
4930474N05Rik	60945	Distal Intergenic	chr14	36155914	36156413
Rnf217	62367	Intron (ENSMUST00000081989.7/268291, intron 1 of 5)	chr10	31546318	31546817
Sema6a	64612	Intron (ENSMUST00000234124.1/69456, intron 6 of 6)	chr18	47216084	47216583
Nfkbiz	64701	Distal Intergenic	chr16	55756938	55757437
1110015O18Rik	66552	Distal Intergenic	chr3	4866045	4866544
Itprid2	-67528	Distal Intergenic	chr2	79567325	79567824
Exoc4	-67597	Intron (ENSMUST00000052266.14/20336, intron 11 of 17)	chr6	33794004	33794503
D030045P18Rik	68624	Distal Intergenic	chr10	45906504	45907003
Ttc27	69673	Distal Intergenic	chr17	74931594	74932093
Abtb2	-70511	Intron (ENSMUST00000076212.3/99382, intron 1 of 16)	chr2	103644025	103644524
Bckdhb	71223	Distal Intergenic	chr9	84178730	84179229
5730522E02Rik	71402	Intron (ENSMUST00000125773.7/70626, intron 1 of 5)	chr11	26009699	26010198
Zbtb18	72108	Distal Intergenic	chr1	177517929	177518428
Nuak1	72376	Distal Intergenic	chr10	84319513	84320012
Atp8b4	72402	Intron (ENSMUST00000040128.11/241633, intron 9 of 27)	chr2	126418652	126419151
Smc2os	72808	Distal Intergenic	chr4	52365658	52366157
Spata6	-73956	Intron (ENSMUST00000106592.7/78933, intron 11 of 12)	chr4	111645529	111646028
Ttc39b	78465	Distal Intergenic	chr4	83154206	83154705
Irf2	78837	Distal Intergenic	chr8	46886067	46886566
Klf3	-80865	Intron (ENSMUST00000180912.5/ENSMUST00000180912.5, intron 1 of 4)	chr5	64722024	64722523
Runx2	80895	Intron (ENSMUST00000162816.7/12393, intron 3 of 5)	chr17	44653299	44653798
CK137956	81478	Distal Intergenic	chr4	127888974	127889473
Adgrg2	-82642	Distal Intergenic	chrX	160307549	160308048
Hira	83891	Distal Intergenic	chr16	19025437	19025936
Gm31592	-86003	Distal Intergenic	chr10	91802327	91802826
Mroh9	-86098	Distal Intergenic	chr1	163171768	163172267
Cntnap5c	88615	Intron (ENSMUST00000076038.6/620292, intron 1 of 23)	chr17	57858185	57858684
Aoah	-89984	Intron (ENSMUST00000021757.4/27052, intron 11 of 20)	chr13	20920150	20920649
L3mbtl4	-90092	Exon (ENSMUST00000233387.1/ENSMUST00000233387.1, exon 3 of 5)	chr17	68183206	68183705
Eya1	91571	Distal Intergenic	chr1	14139422	14139921
Mettl4	92882	Distal Intergenic	chr17	94656511	94657010
Fhod3	92970	Intron (ENSMUST00000037097.8/225288, intron 3 of 26)	chr18	24802415	24802914
Epha3	-94093	Distal Intergenic	chr16	63958268	63958767
Lurap1l	95271	Distal Intergenic	chr4	81005917	81006416
Gm17399	95439	Distal Intergenic	chr9	118245670	118246169
Syt1	96144	Intron (ENSMUST00000105276.7/20979, intron 2 of 11)	chr10	108912457	108912956
Fam204a	-98941	Distal Intergenic	chr19	60325642	60326141
Tdrd3	98954	Distal Intergenic	chr14	87638053	87638552
Aebp2	101857	Intron (ENSMUST00000111844.1/ENSMUST00000111844.1, intron 1 of 1)	chr6	140748674	140749173
Mrps30	105882	Distal Intergenic	chr13	118280871	118281370
Large1	108077	Intron (ENSMUST00000004497.10/16795, intron 1 of 14)	chr8	73243980	73244479
Hmgn3	-111513	Distal Intergenic	chr9	83258198	83258697
Epha5	118588	Intron (ENSMUST00000053733.14/13839, intron 3 of 15)	chr5	84297719	84298218
Cldn34b3	-122598	Distal Intergenic	chrX	76141207	76141706
Rprm	-129961	Distal Intergenic	chr2	54215513	54216012
Atp10a	131338	Intron (ENSMUST00000168747.2/11982, intron 7 of 20)	chr7	58789584	58790083
G6pd2	131571	Distal Intergenic	chr5	61940387	61940886
Gm5524	135827	Distal Intergenic	chr1	28019873	28020372
4930520P13Rik	136738	Distal Intergenic	chr13	70369560	70370059
Plscr5	-136810	Distal Intergenic	chr9	92055627	92056126
2900079G21Rik	137466	Intron (ENSMUST00000216779.1/ENSMUST00000216779.1, intron 1 of 1)	chr9	112394040	112394539
Nrxn3	138513	Intron (ENSMUST00000190626.6/18191, intron 5 of 18)	chr12	89331619	89332118
1700010I02Rik	138672	Distal Intergenic	chr3	7815711	7816210
Ptprd	-141422	Intron (ENSMUST00000107287.8/19266, intron 9 of 14)	chr4	76735721	76736220
4930533P14Rik	142978	Distal Intergenic	chr1	96519096	96519595
4930567K20Rik	143449	Intron (ENSMUST00000044306.12/14816, intron 3 of 8)	chr10	10894529	10895028
Hs6st2	152832	Intron (ENSMUST00000088172.11/50786, intron 2 of 4)	chrX	51527234	51527733
Rims1	153292	Intron (ENSMUST00000081544.12/116837, intron 2 of 31)	chr1	22651933	22652432
Snx7	-155405	Distal Intergenic	chr3	118024341	118024840
Sstr4	-158357	Distal Intergenic	chr2	148236488	148236987
Platr4	160376	Distal Intergenic	chr3	41332315	41332814
Unc13c	175592	Exon (ENSMUST00000184666.7/208898, exon 6 of 33)	chr9	73757476	73757975
Hrh4	179264	Distal Intergenic	chr18	13186301	13186800
Mnd1-ps	184595	Intron (ENSMUST00000161302.7/14198, intron 2 of 6)	chr14	10070621	10071120
Tpbg	187362	Distal Intergenic	chr9	86030723	86031222
Prep	-189681	Distal Intergenic	chr10	44877023	44877522
Adcy2	191367	Intron (ENSMUST00000022013.7/210044, intron 3 of 24)	chr13	68807675	68808174
Sec61b	195601	Distal Intergenic	chr4	47670549	47671048
Kcne4	199680	Intron (ENSMUST00000189296.1/102636764, intron 2 of 3)	chr1	79016607	79017106
Ipo5	-205256	Distal Intergenic	chr14	120705469	120705968
Snora33	210172	Intron (ENSMUST00000219823.1/ENSMUST00000219823.1, intron 3 of 4)	chr10	23574804	23575303
Speer2	-215438	Intron (ENSMUST00000231343.1/ENSMUST00000231343.1, intron 1 of 4)	chr16	70079182	70079681
Nmbr	217635	Distal Intergenic	chr10	14977854	14978353
Nlgn1	230198	Intron (ENSMUST00000193603.5/192167, intron 5 of 7)	chr3	25903037	25903536
Rack1	-236715	Distal Intergenic	chr11	48563118	48563617
Oca2	236875	Distal Intergenic	chr7	56543113	56543612
Pcdh20	237700	Distal Intergenic	chr14	88233147	88233646
Gm12381	-243300	Distal Intergenic	chr4	39098783	39099282
Tram1l1	-244073	Distal Intergenic	chr3	124076283	124076782
Plxdc2	246017	Distal Intergenic	chr2	16884713	16885212
Gria1	-248185	Distal Intergenic	chr11	56762703	56763202
Mir6378	-261604	Distal Intergenic	chr3	35184255	35184754
Mir466f-4	266037	Distal Intergenic	chr13	71373126	71373625
Dync2h1	273087	Distal Intergenic	chr9	6683103	6683602
Tpk1	-274526	Distal Intergenic	chr6	43940804	43941303
Gpat3	274613	Distal Intergenic	chr5	101121030	101121529
1700066C05Rik	-278139	Distal Intergenic	chr16	79720738	79721237
4930486I03Rik	-286308	Intron (ENSMUST00000088448.11/241035, intron 66 of 66)	chr1	20069645	20070144
Abca13	288317	Intron (ENSMUST00000042740.12/268379, intron 41 of 61)	chr11	9481768	9482267
Robo1	310856	Intron (ENSMUST00000232549.1/ENSMUST00000232549.1, intron 3 of 5)	chr16	73294611	73295110
Cnbd1	346955	Intron (ENSMUST00000133363.1/ENSMUST00000133363.1, intron 4 of 10)	chr4	18775072	18775571
Iftap	369452	Distal Intergenic	chr2	101206174	101206673
Lrrc4c	-378005	Intron (ENSMUST00000135431.7/241568, intron 3 of 6)	chr2	97089153	97089652
D3Ertd751e	380421	Distal Intergenic	chr3	42131617	42132116
Aga	-380926	Distal Intergenic	chr8	53130302	53130801
Robo2	386814	Distal Intergenic	chr16	73512572	73513071
S100a7l2	-392454	Distal Intergenic	chr3	91483257	91483756
Otol1	397139	Distal Intergenic	chr3	70404752	70405251
1700101O22Rik	411902	Distal Intergenic	chr12	6967929	6968428
Caap1	417591	Intron (ENSMUST00000126270.1/ENSMUST00000126270.1, intron 4 of 5)	chr4	94138676	94139175
Ccng1	-447100	Distal Intergenic	chr11	41202411	41202910
Ccser1	459653	Distal Intergenic	chr6	62416342	62416841
Unc5d	479990	Intron (ENSMUST00000168630.3/210801, intron 8 of 17)	chr8	28738938	28739437
Slitrk5	481350	Distal Intergenic	chr14	112157199	112157698
4930474G06Rik	-494432	Distal Intergenic	chr18	28367919	28368418
Zfp960	-519834	Distal Intergenic	chr17	16543780	16544279
Brinp3	-521845	Distal Intergenic	chr1	145972416	145972915
Sorcs3	559661	Distal Intergenic	chr19	49263877	49264376
Slit2	-562080	Distal Intergenic	chr5	47420559	47421058
Got2	-564553	Distal Intergenic	chr8	96453100	96453599
Dipk2a	567998	Distal Intergenic	chr9	93969584	93970083
Crim1	-570351	Distal Intergenic	chr17	77629398	77629897
Rab28	582388	Distal Intergenic	chr5	41044615	41045114
Celf2	-669085	Distal Intergenic	chr2	8178648	8179147
Cbln2	686564	Distal Intergenic	chr18	87399612	87400111
Slitrk1	-696500	Distal Intergenic	chr14	109610658	109611157
Mms22l	-722828	Distal Intergenic	chr4	23773124	23773623
Cadm2	-818314	Distal Intergenic	chr16	68439222	68439721
Gm2516	828432	Distal Intergenic	chr8	51196544	51197043
Chordc1	-840320	Distal Intergenic	chr9	17451306	17451805
Mdga2	-855791	Distal Intergenic	chr12	68078340	68078839
Zpld1	1018285	Distal Intergenic	chr16	54264453	54264952
Acvr2a	-1057639	Distal Intergenic	chr2	47755971	47756470
Ncam2	1107078	Distal Intergenic	chr16	82572701	82573200
Gm10440	1420473	Distal Intergenic	chr5	55770464	55770963
